"perc","tmean"
"0.0%",10.6227280521245
"0.1%",11.674444230108
"0.2%",12.2845769032945
"0.3%",12.708457818927
"0.4%",13.0231028806556
"0.5%",13.3257596021949
"0.6%",13.5519549162312
"0.7%",13.758408399471
"0.8%",13.9925699588483
"0.9%",14.1639028206488
"1.0%",14.3380036865618
"2.0%",15.5652949245525
"3.0%",16.3616726680362
"4.0%",16.9251903292195
"5.0%",17.3834555041181
"6.0%",17.7781318587107
"7.0%",18.1331108539043
"8.0%",18.4372599451288
"9.0%",18.6952717764043
"10.0%",18.9436642661168
"11.0%",19.1867776920422
"12.0%",19.4295438957473
"13.0%",19.632306670098
"14.0%",19.8243870027418
"15.0%",20.0050540123457
"16.0%",20.1929698216718
"17.0%",20.3447728052179
"18.0%",20.5127203360751
"19.0%",20.6635310111709
"20.0%",20.7871288947623
"21.0%",20.9379207084105
"22.0%",21.0545010288066
"23.0%",21.2153360768203
"24.0%",21.3102194787368
"25.0%",21.4486132544599
"26.0%",21.5460219478746
"27.0%",21.6618891460873
"28.0%",21.7801543209844
"29.0%",21.8998456790175
"30.0%",21.9824888545967
"31.0%",22.1099537037026
"32.0%",22.2064043209872
"33.0%",22.2946887860134
"34.0%",22.3961977023354
"35.0%",22.5082175925926
"36.0%",22.5857853223568
"37.0%",22.6648086909671
"38.0%",22.7599862825772
"39.0%",22.8506430041213
"40.0%",22.9302554869702
"41.0%",23.0162727194805
"42.0%",23.1131944444444
"43.0%",23.1906142832596
"44.0%",23.2827417695473
"45.0%",23.3589463305962
"46.0%",23.4557270233206
"47.0%",23.5210292352537
"48.0%",23.6027177640638
"49.0%",23.68127357682
"50.0%",23.747170781893
"51.0%",23.8464163237294
"52.0%",23.9070370370377
"53.0%",23.9834276406019
"54.0%",24.0691057956083
"55.0%",24.1443008402004
"56.0%",24.2152246227675
"57.0%",24.2886265432099
"58.0%",24.3716637272221
"59.0%",24.4571887860082
"60.0%",24.5325788751718
"61.0%",24.6118220899522
"62.0%",24.6683967764055
"63.0%",24.759987568583
"64.0%",24.8443707133076
"65.0%",24.9167738340234
"66.0%",25.0015946502006
"67.0%",25.0846829071151
"68.0%",25.1637259945105
"69.0%",25.2398341049331
"70.0%",25.3123285322325
"71.0%",25.4031399421892
"72.0%",25.5081961591239
"73.0%",25.5765474965714
"74.0%",25.675823045262
"75.0%",25.7670181755813
"76.0%",25.842690329221
"77.0%",25.9393518518519
"78.0%",26.0528120713323
"79.0%",26.126352758179
"80.0%",26.2486282578848
"81.0%",26.3397397976736
"82.0%",26.4617497060591
"83.0%",26.5529792523999
"84.0%",26.6650445816101
"85.0%",26.7866298011042
"86.0%",26.9112242798354
"87.0%",27.0391927542642
"88.0%",27.1726447677821
"89.0%",27.3166066529514
"90.0%",27.4584190672171
"91.0%",27.6512294238653
"92.0%",27.8084705075412
"93.0%",27.9872025646648
"94.0%",28.2150420095988
"95.0%",28.4492256393284
"96.0%",28.7100068587113
"97.0%",29.0274669312183
"98.0%",29.4431165490851
"99.0%",30.0874365569258
"99.1%",30.1819765089157
"99.2%",30.2922664119159
"99.3%",30.3905562904182
"99.4%",30.4982620394877
"99.5%",30.6631126298268
"99.6%",30.8179006221853
"99.7%",31.0282971536312
"99.8%",31.2940803816364
"99.9%",31.6917640174898
"100.0%",32.4111000881842
