"city","lat","long","alt"
"akr",41.0804,81.521499,874
"albu",35.117218,106.624636,4945
"anch",61.178368,149.186416,118
"arlv",38.878726,77.101909,NA
"atla",33.7629,84.422592,1050
"aust",30.30588,97.750522,505
"bake",35.3577,119.004553,400
"balt",39.3008,76.610616,20
"batr",30.448967,91.126043,57
"bidd",43.465484,70.443436,162
"birm",33.527746,86.799223,600
"bost",42.336029,71.017892,21
"buff",42.8898,78.859684,585
"cayc",33.9558,81.060901,NA
"cdrp",41.972967,91.669578,730
"char",35.19755,80.834514,720
"chic",41.83705,87.684965,595
"cinc",39.139801,84.505957,550
"clev",41.4797,81.678511,660
"colo",38.8632,104.759899,5980
"clmg",32.51071,84.874972,265
"clmo",39.988933,82.987381,780
"corp",27.705728,97.292827,35
"covt",41.7,71.683,NA
"dlft",32.794151,96.765249,435
"dayt",39.779067,84.197357,574
"denv",39.768035,104.872655,5280
"desm",41.576738,93.617405,805
"det",42.3831,83.102198,585
"elpa",31.84925,106.437549,3695
"evan",37.98415,87.543299,385
"ftwa",41.07375,85.139024,NA
"fres",36.7806,119.792874,285
"gdrp",42.96125,85.655727,610
"grnb",36.0789,79.826888,839
"hono",21.31725,157.804233,21
"hous",29.7687,95.386728,40
"hunt",34.707048,86.627723,640
"indi",39.7764,86.146196,710
"jcks",32.3205,90.207591,298
"jckv",30.33455,81.657692,20
"jers",40.7113,74.064962,20
"john",40.32535,78.919548,1185
"kan",39.122312,94.552009,750
"kans",39.1184,94.727037,750
"king",41.930112,73.997269,NA
"knox",35.97455,83.946288,890
"lafy",30.21525,92.029499,NA
"lkch",30.21085,93.20291,NA
"lasv",36.20575,115.222799,2030
"lex",38.042746,84.45946,NA
"linc",40.8164,96.688171,1150
"ltrk",34.7224,92.354076,286
"la",34.112101,118.411201,340
"loui",38.22475,85.741156,450
"lubb",33.57585,101.875374,3195
"madi",43.0798,89.387519,860
"memp",35.1056,90.006991,275
"miam",25.775667,80.210845,10
"milw",43.06335,87.966623,635
"minn",44.96185,93.266849,815
"mobi",30.67745,88.088959,5
"mode",37.659799,120.993923,NA
"musk",43.22755,86.255534,NA
"nash",36.15914917,86.781921387,440
"no",30.065846,89.931355,5
"ny",40.6698,73.943849,55
"nwk",40.7241,74.173245,55
"new",37.07585,76.51416,43
"nor",36.9232,76.244943,10
"oakl",37.771544,122.22455,25
"okla",35.46705,97.513491,1195
"olym",47.041917,122.893766,NA
"oma",41.2639,96.011745,1040
"orla",28.504748,81.374248,70
"phil",40.006817,75.134678,100
"phoe",33.54255,112.071399,1090
"pitt",40.439207,79.976702,745
"port",45.53825,122.656496,77
"prov",41.82195,71.419732,80
"ral",35.82195,78.658753,365
"rich",37.53105,77.474584,160
"rive",33.940437,117.397363,NA
"roch",43.168651,77.615838,515
"sacr",38.56685,121.46736,30
"salt",40.777267,111.929921,4390
"sana",29.45765,98.505355,650
"sanb",34.13975,117.292299,1080
"sand",32.81495,117.13577,20
"sanf",37.79325,122.554783,65
"sanj",37.304,121.849783,90
"staa",33.8389,117.872331,NA
"seat",47.6218,122.350326,10
"shr",32.47155,93.797808,204
"spok",47.6723,117.414024,1890
"stlo",38.63605,90.244299,455
"stpe",27.758,82.642121,20
"stoc",37.96985,121.306741,20
"syra",43.041059,76.144067,400
"taco",47.252,122.459766,110
"tamp",27.959,82.48212,15
"tole",41.66395,83.581649,585
"tope",39.0379,95.691999,930
"tucs",32.195816,110.891717,2390
"tuls",36.12775,95.916407,804
"dc",38.90505,77.016167,25
"wich",37.68735,97.342674,1290
"wor",42.269633,71.80892,475
